category_1,category_2,orders_together
Bed_Bath_Table,Furniture_Decor,70
Bed_Bath_Table,Home_Confort,43
Furniture_Decor,Housewares,24
Baby,Cool_Stuff,20
Bed_Bath_Table,Housewares,20
Baby,Toys,19
Baby,Bed_Bath_Table,17
Furniture_Decor,Garden_Tools,16
Health_Beauty,Sports_Leisure,14
Housewares,Unclassified,14
Furniture_Decor,Home_Construction,13
Baby,Furniture_Decor,12
Bed_Bath_Table,Health_Beauty,11
Construction_Tools_Lights,Furniture_Decor,11
Garden_Tools,Housewares,11
Health_Beauty,Perfumery,11
Housewares,Sports_Leisure,11
Bed_Bath_Table,Cool_Stuff,10
Fashion_Bags_Accessories,Unclassified,9
Bed_Bath_Table,Unclassified,8
Computers_Accessories,Garden_Tools,8
Cool_Stuff,Toys,7
Furniture_Decor,Furniture_Living_Room,7
Furniture_Decor,Watches_Gifts,7
Garden_Tools,Home_Construction,7
Audio,Watches_Gifts,6
Computers_Accessories,Telephony,6
Cool_Stuff,Telephony,6
Furniture_Decor,Home_Confort,6
Pet_Shop,Unclassified,6
Sports_Leisure,Unclassified,6
Stationery,Toys,6
Art,Furniture_Decor,5
Auto,Computers_Accessories,5
Baby,Housewares,5
Bed_Bath_Table,Office_Furniture,5
Computers_Accessories,Cool_Stuff,5
Computers_Accessories,Electronics,5
Construction_Tools_Construction,Garden_Tools,5
Luggage_Accessories,Stationery,5
Sports_Leisure,Watches_Gifts,5
Baby,Garden_Tools,4
Bed_Bath_Table,Garden_Tools,4
Computers_Accessories,Housewares,4
Cool_Stuff,Furniture_Decor,4
Costruction_Tools_Garden,Unclassified,4
Furniture_Decor,Office_Furniture,4
Health_Beauty,Stationery,4
Housewares,Stationery,4
Sports_Leisure,Toys,4
Auto,Construction_Tools_Construction,3
Auto,Cool_Stuff,3
Auto,Sports_Leisure,3
Auto,Telephony,3
Baby,Fashion_Bags_Accessories,3
Computers_Accessories,Sports_Leisure,3
Construction_Tools_Lights,Sports_Leisure,3
Drinks,Health_Beauty,3
Food,Health_Beauty,3
Furniture_Decor,Health_Beauty,3
Furniture_Decor,Market_Place,3
Furniture_Decor,Sports_Leisure,3
Furniture_Living_Room,Office_Furniture,3
Garden_Tools,Sports_Leisure,3
Health_Beauty,Watches_Gifts,3
Perfumery,Sports_Leisure,3
Auto,Baby,2
Auto,Bed_Bath_Table,2
Auto,Furniture_Decor,2
Auto,Garden_Tools,2
Auto,Housewares,2
Baby,Fashion_Shoes,2
Bed_Bath_Table,Costruction_Tools_Garden,2
Bed_Bath_Table,Electronics,2
Bed_Bath_Table,Furniture_Living_Room,2
Bed_Bath_Table,Market_Place,2
Bed_Bath_Table,Toys,2
Books_General_Interest,Market_Place,2
Computers_Accessories,Luggage_Accessories,2
Computers_Accessories,Stationery,2
Consoles_Games,Toys,2
Construction_Tools_Safety,Cool_Stuff,2
Construction_Tools_Safety,Home_Construction,2
Cool_Stuff,Health_Beauty,2
Cool_Stuff,Tablets_Printing_Image,2
Cool_Stuff,Unclassified,2
Cool_Stuff,Watches_Gifts,2
Drinks,Housewares,2
Drinks,Sports_Leisure,2
Electronics,Furniture_Decor,2
Electronics,Perfumery,2
Electronics,Telephony,2
Electronics,Watches_Gifts,2
Fashion_Bags_Accessories,Fashion_Childrens_Clothes,2
Fashion_Bags_Accessories,Stationery,2
Food_Drink,Housewares,2
Food_Drink,Sports_Leisure,2
Furniture_Decor,Industry_Commerce_And_Business,2
Furniture_Decor,Perfumery,2
Furniture_Decor,Pet_Shop,2
Furniture_Decor,Stationery,2
Furniture_Decor,Unclassified,2
Garden_Tools,Stationery,2
Garden_Tools,Watches_Gifts,2
Health_Beauty,Luggage_Accessories,2
Health_Beauty,Market_Place,2
Health_Beauty,Telephony,2
Health_Beauty,Unclassified,2
Home_Construction,Housewares,2
Housewares,Kitchen_Dining_Laundry_Garden_Furniture,2
Housewares,Market_Place,2
Housewares,Watches_Gifts,2
Office_Furniture,Sports_Leisure,2
Perfumery,Toys,2
Perfumery,Unclassified,2
Stationery,Unclassified,2
Stationery,Watches_Gifts,2
Telephony,Watches_Gifts,2
Air_Conditioning,Computers_Accessories,1
Air_Conditioning,Sports_Leisure,1
Art,Stationery,1
Arts_And_Craftmanship,Garden_Tools,1
Arts_And_Craftmanship,Toys,1
Auto,Christmas_Supplies,1
Auto,Consoles_Games,1
Auto,Drinks,1
Auto,Electronics,1
Auto,Fashion_Bags_Accessories,1
Auto,Health_Beauty,1
Auto,Home_Comfort_2,1
Auto,Luggage_Accessories,1
Auto,Musical_Instruments,1
Auto,Unclassified,1
Auto,Watches_Gifts,1
Baby,Books_General_Interest,1
Baby,Construction_Tools_Lights,1
Baby,Construction_Tools_Safety,1
Baby,Furniture_Bedroom,1
Baby,Furniture_Living_Room,1
Baby,Health_Beauty,1
Baby,La_Cuisine,1
Baby,Luggage_Accessories,1
Baby,Signaling_And_Security,1
Baby,Sports_Leisure,1
Baby,Unclassified,1
Baby,Watches_Gifts,1
Bed_Bath_Table,Computers_Accessories,1
Bed_Bath_Table,Construction_Tools_Construction,1
Bed_Bath_Table,Construction_Tools_Lights,1
Bed_Bath_Table,Construction_Tools_Safety,1
